id;d_dd;numero;tipo;data_cadastro;login_operador
1;Factors Uzbekistan Sum Outdoors;CSS Checking Account;FIXO;2020-04-09T21:44:15;Auto Loan Account Metal salmon
2;reintermediate executive;azure solid state;CELULAR;2020-04-10T09:01:16;Refined New Taiwan Dollar
3;Associate Jewelery Steel;Spain input;FIXO;2020-04-10T06:46:26;white Borders users
4;deposit vortals Croatian Kuna;Programmable;FIXO;2020-04-10T16:19:10;Marketing Berkshire magenta
5;Infrastructure Mauritius robust;stable;FIXO;2020-04-10T14:14:36;Turkish Lira Small Wooden Salad models
6;plum Computers;architecture;FIXO;2020-04-10T20:45:17;Pants
7;infomediaries Pants Towels;Pants Dynamic;FIXO;2020-04-10T06:37:58;Up-sized copy black
8;vortals Corporate;bi-directional;COMERCIAL;2020-04-10T19:52:28;Baht Cambridgeshire
9;Beauty;zero tolerance online;FIXO;2020-04-10T19:04:39;payment
10;exuding Agent;Concrete Music Baht;COMERCIAL;2020-04-10T07:34:37;Outdoors Utah
